,Dónde estás trabajando,Cantidad de personas en tu organización,Actividad principal,Salario mensual o retiro BRUTO (en tu moneda local),Años de experiencia,Años en la empresa actual,Años en el puesto actual,¿Gente a cargo?,Plataformas,Lenguajes de programación o tecnologías.,"Frameworks, herramientas y librerías",Bases de datos,QA / Testing,IDEs,Beneficios extra
325,Río Negro,201-500,Producto basado en Software,7054,8825,6068,5068,6508,"Arduino o similar,*BSD,Google Cloud Platform/App Engine,SAP",".NET,Bash/Shell,C,COBOL,Python,SQL","Flutter,SwiftUI","Percona XtraBackup,Redis","Appium,HP LoadRunner","Sublime Text,Vi,Visual Studio Code",
326,Salta,1001-2000,Otras industrias,6751,1956,7980,124,8933,,"ABAP,Erlang,HTML","Drupal,Hibernate,Spring","PostgreSQL,Redis,Teradata","HP LoadRunner,Lippia,PHPUnit,Visual Studio Coded UI","Android Studio,Vim",Stock options / RSUs
327,Río Negro,501-1000,Producto basado en Software,9005,4885,9446,6039,2199,"AIX,*BSD,Google Cloud Platform/App Engine,OpenStack",Arduino,.NET Core,"Amazon Redshift,Informix,MySQL","HP LoadRunner,RSpec,Silktest,Watir","Coda,Komodo,Vim,Zend","Descuento en gimnasios / Clases de gimnasia online,Stock options / RSUs"
328,Ciudad Autónoma de Buenos Aires,10001+,Producto basado en Software,6323,5847,2349,3275,7544,VMWare,"Clojure,COBOL,Go,HTML",CodeIgniter,"Apache HBase,Cassandra,Informix,MySQL,Percona XtraBackup,PostgreSQL,Sybase,Teradata","Mocha,Xunit","Coda,PyCharm,Vi,Xcode",Abono de Internet
329,Salta,5001-10000,Producto basado en Software,7070,4202,5860,4406,1666,"*BSD,Firebase","ABAP,R,Rust,SQL,Swift","SwiftUI,WordPress","IBM Db2,Neo4j,Sybase",PHPUnit,"Komodo,TextMate,Zend","Descuentos varios (Mercado Pago, Clarín 365, Club La Nación, etc),Stock options / RSUs"
330,GBA,2-10,Otras industrias,1281,6666,4224,6415,7045,"AIX,Heroku,OpenShift,OpenStack",Kotlin,"Drupal,TensorFlow",Informix,"Appium,Cypress,Karma,Mocha,Ranorex","PHPStorm,Vi","Cuota para universidad / posgrados,Descuentos varios (Mercado Pago, Clarín 365, Club La Nación, etc),Vacaciones flexibles (adicionales a las reglamentarias)"
331,Salta,201-500,Servicios / Consultoría de Software / Digital,7649,6883,6900,8827,6370,"HP-UX,Linux",,"Node.js,SwiftUI,Spark","HANA,Microsoft SQL Server,Percona XtraDB Cluster,Redis","Cypress,Lippia,Xunit","RStudio,Sublime Text",
332,Catamarca,101-200,Producto basado en Software,8334,1442,2962,5839,287,"Mainframe,SAP,Serverless","Erlang,Kotlin,Python","Hibernate,Rails,Spring","HANA,IBM Db2,Neo4j",PHPUnit,"Eclipse,NetBeans,Visual Studio","Estacionamiento gratuito / subvencionado,Viáticos"
333,Tucumán,51-100,Servicios / Consultoría de Software / Digital,3656,7536,2532,7265,6298,"Linux,VMWare","C++,PHP,R,Smalltalk,Solidity","Django,Drupal","Microsoft Azure (Tables, CosmosDB, SQL, etc),MongoDB",SoapUI,"Eclipse,Nano,TextMate","Horarios flexibles,Sueldo divido en dos pagos por mes"
334,Mendoza,201-500,Otras industrias,1179,8161,1330,430,532,"AIX,IBM Cloud / Watson,Linux,Microcontroladores","C,Javascript,Solidity","Bootstrap,Hibernate,Spring","Amazon RDS/Aurora,Percona XtraDB Cluster,ProxySQL","OpenQA,Postman,Silktest,SoapUI,Telerik Studio,TFS",Zend,"Capacitaciones y/o cursos,Vacaciones flexibles (adicionales a las reglamentarias)"
335,Ciudad Autónoma de Buenos Aires,51-100,Producto basado en Software,7993,6310,9513,6392,9801,Firebase,"Java,Scala","Drupal,Node.js,Spring,Vue.js","Aerospike,Informix,MariaDB,Sybase","HP LoadRunner,Katalon,OpenQA","PHPStorm,Zend",
336,Catamarca,101-200,Servicios / Consultoría de Software / Digital,3217,2787,8405,5631,1484,Kubernetes,"C++,C#,Groovy,Javascript,Rust,VBA",.NET Core,"IBM Db2,Microsoft SQL Server","Lippia,Karma,NUnit,Puppeteer,TFS,Watir","Atom,Coda,NetBeans","Cuota para universidad / posgrados,Licencia de paternidad / maternidad extendida"
337,Entre Ríos,5001-10000,Otras industrias,2403,1351,2341,8249,8631,OpenStack,".NET,Dart,PHP,Ruby,Solidity","Bootstrap,Laravel",Oracle,"OpenQA,Telerik Studio,TFS",Zend,"Abono de Internet,Descuento en gimnasios / Clases de gimnasia online"
338,Chubut,101-200,Servicios / Consultoría de Software / Digital,6004,2387,8081,3655,9989,"Azure,Solaris","Javascript,Scala",Angular,"Apache HBase,Apache Hive,Cassandra,HANA,MariaDB,Microsoft Azure (Tables, CosmosDB, SQL, etc),MongoDB,PostgreSQL","Appium,Jest,Karma,OpenQA,Postman","Notepad++,RStudio,Vi","Horarios flexibles,Sueldo divido en dos pagos por mes"
339,La Rioja,101-200,Otras industrias,9929,1580,5359,1204,316,Serverless,"Go,Java",Flutter,Google Cloud Storage,,"Coda,NetBeans,Vim",Clases de idiomas
340,GBA,2-10,Servicios / Consultoría de Software / Digital,9936,5231,1265,4938,5634,"AIX,Amazon Web Services,Linux,OpenStack","Delphi,Kotlin,R,Rust,Scala","Angular,Flutter,Laravel,SwiftUI,SAP,Spark",Amazon Redshift,"Appium,Katalon",Eclipse,
341,Tucumán,2-10,Otras industrias,6887,6912,7423,9568,974,Solaris,"PHP,R","Laravel,React.js,Symfony,TensorFlow","ElasticSearch,Google Cloud Storage","Appium,Lippia,Karma,OpenQA","PyCharm,TextMate",Abono de Internet
342,Santa Cruz,11-50,Producto basado en Software,4215,9785,2575,3965,8458,"HP-UX,Serverless","Matlab,Scala,Smalltalk,VBA","Cordova,Flutter,WordPress","Amazon DynamoDB,MongoDB","Cypress,HP UFT,OpenQA,Selenium","Android Studio,Coda,RStudio,TextMate,Vi,Visual Studio",
343,Neuquén,501-1000,Otras industrias,4975,7207,8851,1749,1458,Google Cloud Platform/App Engine,"Java,Solidity,SQL",,"MySQL,ProxySQL","OpenQA,Puppeteer,RSpec",TextMate,Clases de idiomas
344,Chubut,1001-2000,Otras industrias,8999,235,226,654,6134,HP-UX,"Clojure,Python,R","CodeIgniter,Flutter,jQuery","Apache HBase,Google Cloud Storage,Informix,MySQL,Percona XtraBackup,ProxySQL","Postman,Test Complete","IntelliJ,RStudio,Xcode",Stock options / RSUs
345,Chubut,201-500,Servicios / Consultoría de Software / Digital,1881,9084,9212,6032,220,"AIX,Mainframe","Bash/Shell,CSS,HTML,Objective-C,Perl","Bootstrap,Django,Hibernate,SAP,Vue.js","Amazon Redshift,Cassandra","Karma,PHPUnit,Selenium,Test Complete","Android Studio,IPython / Jupyter,TextMate,WebStorm",Capacitaciones y/o cursos
346,Neuquén,10001+,Otras industrias,4960,4256,8614,6284,4872,Firebase,"C#,Clojure,Objective-C,Scala,VBA","Django,Flutter","Amazon Redshift,Amazon RDS/Aurora,IBM Db2,MySQL","JUnit,OpenQA,RSpec,Visual Studio Coded UI",Vim,"Clases de idiomas,Cuota para universidad / posgrados"
347,Catamarca,2001-5000,Servicios / Consultoría de Software / Digital,7283,6926,4062,968,7553,*BSD,C,SAP,"Amazon Redshift,Percona XtraBackup,Sybase","Lippia,TFS,Xunit","Eclipse,TextMate,WebStorm",Clases de idiomas
348,San Luis,501-1000,Servicios / Consultoría de Software / Digital,5539,6329,7642,494,6144,"Arduino o similar,Mainframe,SAP",".NET,Bash/Shell,Clojure,Matlab,R",,"Apache HBase,Sybase","Cypress,Katalon,Test Complete,Watir",Eclipse,"Abono de Internet,Cuota para universidad / posgrados,Viáticos"
349,Ciudad Autónoma de Buenos Aires,1 (solamente yo),Servicios / Consultoría de Software / Digital,8576,1984,923,9705,1459,"*BSD,Linux,Solaris","Assembler,TypeScript","Drupal,Node.js,Symfony","Amazon DynamoDB,Informix,Percona Server,PostgreSQL,Sybase","Mocha,SoapUI",,Descuento en gimnasios / Clases de gimnasia online
350,Misiones,2-10,Servicios / Consultoría de Software / Digital,1086,303,1492,9816,6411,"Microcontroladores,Mainframe,Solaris,Windows Server","Delphi,Matlab,Perl,Solidity,SQL","Spring,Symfony",Redis,,Zend,"Capacitaciones y/o cursos,Descuento en gimnasios / Clases de gimnasia online,Horarios flexibles"
351,Corrientes,5001-10000,Servicios / Consultoría de Software / Digital,2794,3163,3213,4794,6964,Google Cloud Platform/App Engine,"Bash/Shell,C++,Smalltalk",Spring,"Amazon DynamoDB,Google Cloud Storage,HANA,Neo4j","Appium,TFS","Coda,Vi","Abono de celular,Descuento en gimnasios / Clases de gimnasia online,Comidas pagas / subvencionadas,Lactario en la oficina,Licencia de paternidad / maternidad extendida"
352,Corrientes,5001-10000,Otras industrias,1088,7948,2318,4616,196,Microcontroladores,"Delphi,Elixir,Kotlin,PHP","jQuery,SAP,TensorFlow",,"NUnit,SoapUI","IntelliJ,TextMate",Estacionamiento gratuito / subvencionado
353,Río Negro,5001-10000,Producto basado en Software,1150,8901,7932,6358,6567,"*BSD,Microcontroladores","COBOL,Matlab,Solidity",Cordova,"Apache HBase,Amazon RDS/Aurora,PostgreSQL","Puppeteer,Ranorex,Silktest,Telerik Studio","Atom,Nano,TextMate,Xcode",Capacitaciones y/o cursos
354,Santa Fe,2-10,Producto basado en Software,1687,3135,7923,2155,5563,"Azure,Heroku,Windows Server","Matlab,PHP,SQL,VBA","Flask,Laravel,Rails","MongoDB,Oracle,Percona XtraDB Cluster","Lippia,RSpec","NetBeans,TextMate,Visual Studio,WebStorm",Abono de celular
355,Chaco,1001-2000,Producto basado en Software,6630,4134,9723,4488,7556,"Solaris,VMWare","CSS,Objective-C",".NET Core,Spark","Informix,Microsoft SQL Server,SQLite","HP UFT,NUnit,Telerik Studio,Watir","Android Studio,Komodo,Sublime Text",Horarios flexibles
356,Jujuy,1 (solamente yo),Otras industrias,7303,7933,3105,9502,946,"Firebase,Linux",".NET,Groovy,Ruby","Akka,CodeIgniter,Cordova,Laravel,SAP,Torch",,Xunit,"Komodo,Nano,TextMate,Vim,Zend",Viáticos
357,Salta,2001-5000,Producto basado en Software,4266,7744,6359,5366,7653,Azure,"ABAP,C#,Dart,Groovy,Python","SAP,Symfony",IBM Db2,"Lippia,OpenQA,PHPUnit,Puppeteer","NetBeans,WebStorm","Descuentos varios (Mercado Pago, Clarín 365, Club La Nación, etc),Lactario en la oficina,Sueldo divido en dos pagos por mes"
358,Santiago del Estero,10001+,Servicios / Consultoría de Software / Digital,9196,6796,9528,4669,7165,,"Java,Matlab,Perl,TypeScript","Flutter,Rails,SwiftUI,Symfony","HANA,Percona Server","Katalon,Ranorex",Zend,Vacaciones flexibles (adicionales a las reglamentarias)
359,San Juan,51-100,Producto basado en Software,1734,8695,5120,572,7101,"IBM Cloud / Watson,Windows Server","COBOL,Groovy,Erlang,Javascript,Rust","CodeIgniter,Cordova,Flutter,Hibernate,SwiftUI,SAP,Spring","IBM Db2,Microsoft Azure (Tables, CosmosDB, SQL, etc)","Jest,NUnit","IntelliJ,Sublime Text",Horarios flexibles
360,Misiones,1001-2000,Servicios / Consultoría de Software / Digital,5919,2029,2721,4438,4894,IBM Cloud / Watson,"ABAP,Javascript,Kotlin,Swift","Bootstrap,Hibernate,Laravel,SwiftUI,WordPress","Neo4j,Percona XtraDB Cluster,Percona Server","HP UFT,JUnit,Watir","IPython / Jupyter,PHPStorm,RStudio,WebStorm",
361,Santiago del Estero,5001-10000,Producto basado en Software,613,5732,4596,8442,356,Windows Server,"Clojure,Rust,Solidity","Node.js,SwiftUI","Amazon DynamoDB,MySQL","HP UFT,Ranorex","NetBeans,PHPStorm","Abono de celular,Clases de idiomas,Comidas pagas / subvencionadas,Descuentos varios (Mercado Pago, Clarín 365, Club La Nación, etc),Sueldo divido en dos pagos por mes,Vacaciones flexibles (adicionales a las reglamentarias)"
362,Córdoba,501-1000,Otras industrias,964,21,6879,8508,6407,*BSD,".NET,COBOL,Delphi,Javascript",TensorFlow,"Amazon Redshift,Apache HBase,IBM Db2,ProxySQL","Cypress,Postman,RSpec",Komodo,Lactario en la oficina
363,Santiago del Estero,1001-2000,Otras industrias,9059,8453,6940,7752,5261,"Docker,Heroku,Kubernetes,OpenStack","Arduino,HTML,Objective-C",Flask,"Amazon Redshift,Amazon RDS/Aurora,Cassandra,IBM Db2,Microsoft SQL Server,Oracle","HP UFT,Watir","IntelliJ,Nano,RStudio,Sublime Text",
364,GBA,201-500,Otras industrias,9574,7609,1674,3594,3978,"Linux,Solaris,VMWare","C#,Go,Matlab,PHP,Rust","Drupal,jQuery",ProxySQL,"Karma,SoapUI,Telerik Studio,Xunit","Coda,RStudio,Sublime Text",
365,Salta,11-50,Otras industrias,6247,1885,9368,1057,3446,"Mainframe,Serverless","Groovy,Perl,Ruby,Solidity","Drupal,jQuery,Laravel,SwiftUI,Vue.js","Aerospike,Amazon RDS/Aurora,ElasticSearch,Informix,MongoDB,Percona XtraBackup",NUnit,"Android Studio,Coda,Sublime Text",
366,Jujuy,51-100,Servicios / Consultoría de Software / Digital,767,7134,5076,2054,4597,"AIX,SAP","C#,Clojure,CSS,Go,Elixir,Kotlin,Objective-C,Swift","Angular,CodeIgniter,Hadoop",Sybase,"Appium,Postman","Android Studio,Komodo,Vim",Stock options / RSUs
367,Formosa,5001-10000,Otras industrias,2306,1765,4751,5719,6904,IBM Cloud / Watson,"C#,Delphi,Erlang,Matlab,Objective-C","CodeIgniter,SwiftUI,SAP","Amazon Redshift,Microsoft SQL Server","Postman,SoapUI","Atom,Notepad++",Viáticos
368,Chaco,11-50,Otras industrias,2449,892,5951,4619,7924,"Azure,Linux","Dart,Erlang,Scala","Hadoop,Hibernate","ElasticSearch,Google Cloud Storage,HANA,MariaDB","Telerik Studio,Visual Studio Coded UI",Android Studio,
369,Santa Fe,501-1000,Otras industrias,6564,3769,6354,508,7609,"AIX,Arduino o similar,VMWare","ABAP,COBOL,Elixir,Matlab","Akka,CodeIgniter,Django,jQuery",Informix,"HP LoadRunner,OpenQA,Puppeteer,Telerik Studio,Xunit","Vi,Visual Studio",Estacionamiento gratuito / subvencionado
370,Santa Fe,1001-2000,Otras industrias,1310,7315,2289,5984,846,"Linux,SAP","Java,Python,Ruby","Angular,Hadoop,Vue.js",,"Mocha,PHPUnit,Postman,Selenium","IPython / Jupyter,Nano,PyCharm",Estacionamiento gratuito / subvencionado
371,Santa Fe,5001-10000,Otras industrias,6939,594,8699,421,8424,"Azure,IBM Cloud / Watson,OpenShift","COBOL,Objective-C,VBA","Akka,Django,Flask,Torch,Vue.js","MariaDB,Microsoft Azure (Tables, CosmosDB, SQL, etc),MySQL,Percona Server",OpenQA,"Eclipse,Notepad++,Sublime Text,Visual Studio Code",Cuota para universidad / posgrados
372,Provincia de Buenos Aires,201-500,Otras industrias,1233,7623,6503,9861,2135,"Docker,OpenShift,VMWare,Windows Server","Groovy,Erlang,Matlab,Python","Drupal,jQuery,Spark",Oracle,"HP LoadRunner,Test Complete","Emacs,Zend",Vacaciones flexibles (adicionales a las reglamentarias)
373,Catamarca,51-100,Otras industrias,374,1834,8463,3102,4391,"AIX,Amazon Web Services,Windows Server","Bash/Shell,C++,C#,Erlang,HTML,Solidity,TypeScript","Flutter,Spark","Cassandra,Google Cloud Storage,Neo4j,Oracle","HP UFT,Jest,Mocha,NUnit,RSpec,Watir","Coda,Sublime Text,Xcode","Descuentos varios (Mercado Pago, Clarín 365, Club La Nación, etc),Horarios flexibles,Sueldo divido en dos pagos por mes"
374,Ciudad Autónoma de Buenos Aires,1 (solamente yo),Servicios / Consultoría de Software / Digital,7335,4907,9516,3982,8912,Amazon Web Services,"Solidity,VBA","Hibernate,React.js,Spark","Aerospike,Amazon RDS/Aurora,Microsoft SQL Server,PostgreSQL","Katalon,TFS","Eclipse,RStudio,Visual Studio",Lactario en la oficina
375,Salta,2001-5000,Producto basado en Software,5447,3378,4265,3531,6487,Linux,,"Angular,Bootstrap,SwiftUI",Sybase,Visual Studio Coded UI,"Coda,Nano","Abono de celular,Vacaciones flexibles (adicionales a las reglamentarias)"
376,Entre Ríos,201-500,Otras industrias,1479,6175,4221,4688,6288,Google Cloud Platform/App Engine,"C#,Java","Laravel,Spring","Cassandra,Google Cloud Storage,Informix,MongoDB","PHPUnit,Silktest",IPython / Jupyter,Comidas pagas / subvencionadas
377,Ciudad Autónoma de Buenos Aires,10001+,Otras industrias,9911,5568,2747,2677,6609,"Kubernetes,Linux,Mainframe,OpenStack","Delphi,Scala","Cordova,Flask","Google Cloud Storage,Microsoft SQL Server,MongoDB","Jest,Ranorex,Selenium",Vi,"Abono de celular,Viáticos"
378,San Luis,1 (solamente yo),Otras industrias,4700,8420,7159,4762,9021,"Amazon Web Services,HP-UX,Serverless","Arduino,Groovy,Matlab,Solidity,SQL",,"Amazon Redshift,Amazon RDS/Aurora,Neo4j,Sybase","Cucumber,HP UFT,SoapUI,Telerik Studio,Test Complete,Xunit","Eclipse,Nano,NetBeans,Notepad++,Visual Studio Code","Cuota para universidad / posgrados,Descuentos varios (Mercado Pago, Clarín 365, Club La Nación, etc)"
379,Tierra del Fuego,2-10,Otras industrias,1637,8268,1356,2060,2809,"AIX,Google Cloud Platform/App Engine","CSS,Java,Matlab,Ruby,Solidity",Node.js,"Amazon DynamoDB,HANA,MariaDB,PostgreSQL,Redis","Cucumber,HP UFT,JUnit,Silktest,Watir",,Vacaciones flexibles (adicionales a las reglamentarias)
380,Córdoba,2001-5000,Otras industrias,426,4113,8034,9426,3992,Arduino o similar,"Assembler,C++,Groovy,Elixir,Java,Matlab","Node.js,WordPress","Amazon RDS/Aurora,Microsoft Azure (Tables, CosmosDB, SQL, etc),Redis","Cucumber,Xunit","Android Studio,IntelliJ,Komodo,Notepad++,TextMate","Horarios flexibles,Viáticos"
381,Mendoza,201-500,Otras industrias,2057,3000,4281,5390,8609,HP-UX,"HTML,Kotlin,Matlab","Akka,Drupal,Laravel,SwiftUI,Symfony","Neo4j,Percona XtraDB Cluster,Sybase","JUnit,Lippia,RSpec","IntelliJ,Komodo,Nano,Zend","Clases de idiomas,Horarios flexibles"
382,Jujuy,201-500,Otras industrias,9477,8080,7771,9130,6722,Mainframe,"C,Clojure,Go,Elixir,Rust,Scala,Smalltalk","Hadoop,Torch","Informix,Redis","HP LoadRunner,Karma,Katalon,Xunit",,
383,Jujuy,2001-5000,Servicios / Consultoría de Software / Digital,729,264,1521,5066,9119,Microcontroladores,"Assembler,Javascript",".NET Core,Django,Hadoop,Rails,Spring","IBM Db2,Percona Server",Ranorex,,Sueldo divido en dos pagos por mes
384,Jujuy,11-50,Otras industrias,379,5465,1067,7170,5897,"AIX,Azure,Google Cloud Platform/App Engine","Bash/Shell,Delphi,Rust","Cordova,Spark","Amazon Redshift,MariaDB","HP UFT,Lippia","Nano,RStudio","Descuentos varios (Mercado Pago, Clarín 365, Club La Nación, etc)"
385,Mendoza,10001+,Otras industrias,3575,2578,2856,9471,4035,"Kubernetes,Serverless","Go,VBA","Node.js,Spark,Symfony,TensorFlow","Amazon Redshift,Amazon RDS/Aurora,Cassandra,Microsoft Azure (Tables, CosmosDB, SQL, etc),Microsoft SQL Server",Katalon,"Android Studio,PyCharm,Visual Studio","Clases de idiomas,Cuota para universidad / posgrados"
386,Neuquén,101-200,Servicios / Consultoría de Software / Digital,3877,9259,2620,8716,7941,,"Arduino,COBOL,Delphi,Matlab",Laravel,"Amazon Redshift,MariaDB,Percona XtraBackup,ProxySQL","Cucumber,HP UFT",TextMate,
387,Chaco,2001-5000,Otras industrias,1903,2064,8728,8710,2779,SAP,"Bash/Shell,Clojure,CSS,Scala",Hadoop,"Microsoft Azure (Tables, CosmosDB, SQL, etc),Percona XtraBackup,Redis","HP LoadRunner,Lippia",NetBeans,"Estacionamiento gratuito / subvencionado,Lactario en la oficina,Viáticos"
388,Catamarca,1001-2000,Producto basado en Software,5357,2270,6874,5530,6708,"Arduino o similar,*BSD,Docker","Delphi,HTML,Matlab,SQL","Flutter,Hadoop,Node.js","Apache HBase,Percona Server","Katalon,Selenium,Telerik Studio","Komodo,RStudio,Visual Studio Code","Capacitaciones y/o cursos,Comidas pagas / subvencionadas,Sueldo divido en dos pagos por mes"
389,GBA,201-500,Producto basado en Software,8921,2987,1157,1688,6560,"Arduino o similar,Azure,OpenShift","Delphi,Javascript,PHP,R,SQL","CodeIgniter,Laravel,Spring,Torch","Cassandra,Teradata","Karma,OpenQA,Silktest,Xunit",Coda,Stock options / RSUs
390,Santiago del Estero,5001-10000,Producto basado en Software,8877,2926,4033,8222,3339,"Azure,Microcontroladores,OpenShift,OpenStack","COBOL,Kotlin,R,Solidity",".NET Core,Hadoop,Spark","Apache HBase,Amazon RDS/Aurora,MongoDB",Test Complete,"Nano,Notepad++,TextMate","Abono de Internet,Comidas pagas / subvencionadas"
391,Catamarca,2-10,Producto basado en Software,5128,9576,4261,7212,2455,"Arduino o similar,Google Cloud Platform/App Engine,Mainframe","Dart,HTML,Perl,PHP",Hadoop,"Amazon DynamoDB,Percona Server,SQLite","Cypress,Puppeteer,Ranorex","Android Studio,PHPStorm,TextMate",
392,Santiago del Estero,11-50,Servicios / Consultoría de Software / Digital,4346,1525,3783,6957,427,Microcontroladores,"Arduino,Delphi,Go,Ruby",jQuery,"Google Cloud Storage,MariaDB,Microsoft Azure (Tables, CosmosDB, SQL, etc),Oracle","HP UFT,Karma,Katalon,OpenQA",Coda,Lactario en la oficina
393,Catamarca,101-200,Otras industrias,8724,7597,7457,8864,7902,"Docker,Firebase,HP-UX,Kubernetes","Arduino,C#,Python","Akka,Flask","HANA,Microsoft SQL Server,Oracle","Appium,Karma,Ranorex,RSpec",Vim,
394,Tucumán,11-50,Otras industrias,6672,390,8268,1827,3895,"Amazon Web Services,Google Cloud Platform/App Engine,Heroku","Arduino,VBA",".NET Core,WordPress",SQLite,OpenQA,"PyCharm,Visual Studio,Xcode","Abono de celular,Capacitaciones y/o cursos,Estacionamiento gratuito / subvencionado"
395,La Rioja,11-50,Otras industrias,4311,6015,8886,7951,6324,,"Java,Objective-C,Ruby,Rust,Scala","Angular,Drupal,Torch,Vue.js","Amazon RDS/Aurora,Percona XtraDB Cluster,Teradata","Karma,PHPUnit,Telerik Studio","Nano,Visual Studio Code","Comidas pagas / subvencionadas,Stock options / RSUs"
396,Provincia de Buenos Aires,2-10,Producto basado en Software,1603,3371,5333,9546,8626,"Azure,HP-UX","Arduino,C++,COBOL,Objective-C,Rust,Smalltalk,TypeScript","Cordova,SAP,Symfony,WordPress","MariaDB,ProxySQL,Sybase","Mocha,Postman,Ranorex,Selenium,Visual Studio Coded UI,Xunit",Zend,
397,Santiago del Estero,201-500,Otras industrias,2664,6667,4634,2542,1792,,"Delphi,Go,Java,SQL","Bootstrap,CodeIgniter,Spring,Torch",Percona Server,"Appium,HP LoadRunner,NUnit,Selenium","Komodo,PHPStorm","Descuentos varios (Mercado Pago, Clarín 365, Club La Nación, etc),Viáticos"
398,Provincia de Buenos Aires,201-500,Servicios / Consultoría de Software / Digital,8206,3383,22,9055,5382,"Heroku,Microcontroladores,VMWare","Delphi,Erlang,Kotlin,VBA","Spark,WordPress","Informix,MySQL,Redis","Appium,Jest,Puppeteer,Telerik Studio,Watir",IntelliJ,Abono de celular
